account_id,archetype,country,city,kyc_level,account_age_days,is_laundering,laundering_role,laundering_patterns,n_laundering_episodes,in_benign_lookalike,n_in,amt_in_total,amt_in_mean,amt_in_median,amt_in_max,amt_in_std,n_out,amt_out_total,amt_out_mean,amt_out_median,amt_out_max,amt_out_std,n_txns,amt_total,inflow_outflow_ratio,net_flow,retention_ratio,in_out_txn_ratio,amt_cv_out,unique_senders,unique_receivers,counterparty_hhi,one_shot_counterparty_ratio,counterparty_per_txn,degree_ratio,max_txns_1h,max_amount_1h,max_txns_24h,max_amount_24h,mean_inter_txn_seconds,burstiness,min_inter_txn_seconds,night_ratio,weekend_ratio,round_amount_ratio,near_threshold_ratio,above_threshold_ratio,active_span_days,txns_per_active_day,median_holding_seconds,min_holding_seconds,outflow_within_1h_ratio,outflow_within_24h_ratio,passthrough_ratio,volume_growth_ratio,count_growth_ratio,counterparty_growth_ratio,dormancy_wakeup_score,g_in_degree,g_out_degree,g_degree,g_degree_ratio,g_relay_score,g_pagerank,g_core_number,g_scc_size,g_in_cycle,g_reciprocal_edges,g_reciprocity,g_clustering,g_is_hub,g_two_hop_out,g_two_hop_in,g_fan_out_ratio
ACC000000,freelancer,IN,Bengaluru,min,3035,1,mule,fan_in|fan_out|mule_network,3,1,4.0,541701.02,135425.255,89442.995,357482.46,158718.05921347503,11.0,64613.22,5873.929090909091,1590.0,40800.0,11705.385124741053,15.0,606314.24,8.383619271423536,477087.80000000005,0.8807199943614757,0.3333333333333333,1.9924300265775212,3.0,11.0,0.41522489081014646,0.8461538461538461,0.875,0.25,1,357482.4600000001,2,357482.4600000001,160237.2857142857,-0.18407779367675786,36788.0,0.2,0.3333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,25.964375,0.5562895487101036,411938.0,186760.0,0.0,0.0,0.027479871544300902,10.771834829058625,1.4285714285714286,1.2857142857142858,1.1523685993447204,3,11,14,0.25,0.1111111111111111,0.0006114903723710373,13,1451,1,1,0.08333333333333333,0.15384615384615385,0.0,268.0,122.0,22.333333333333332
ACC000001,salary,IN,Bengaluru,full,3552,0,0.0,0.0,0,1,11.0,373845.52,33985.95636363637,3136.84,235000.0,71325.60544909188,22.0,130151.14,5915.960909090909,3198.215,44976.57,9378.600558423725,33.0,503996.66000000003,2.872373208769368,243694.38,0.6518567566176622,0.4782608695652174,1.5850367616954,8.0,20.0,0.2612100091911005,0.8928571428571429,0.8235294117647058,0.38095238095238093,1,235000.0,4,236780.0,76397.0,-0.06565558606985096,9346.0,0.030303030303030304,0.30303030303030304,0.06060606060606061,0.0,0.030303030303030304,28.295185185185186,1.1264649733871068,175308.0,42196.0,0.0,0.3181818181818182,1.202380493949486,0.8001943286369926,1.1875,1.2,1.0196052319498754,8,20,28,0.38095238095238093,0.07692307692307693,0.0001326038261899609,22,1451,1,0,0.0,0.20899470899470898,0.0,347.0,265.0,16.523809523809526
ACC000002,small_business,IN,Kochi,full,1931,0,0.0,0.0,0,0,61.0,10490635.54,171977.63180327867,1842.73,1474496.68,345625.93781742174,14.0,242202.39,17300.170714285716,6386.45,101000.0,28220.572756565234,75.0,10732837.93,43.31333075065547,10248433.149999999,0.9769124219415574,4.066666666666666,1.6311365989391273,12.0,12.0,0.8428409989519208,0.7391304347826086,0.3157894736842105,0.9230769230769231,3,1474496.6799999997,8,2262321.549999999,33714.51351351351,0.04672091230846892,157.0,0.06666666666666667,0.29333333333333333,0.09333333333333334,0.04,0.18666666666666668,28.87585648148148,2.510388281135594,42296.0,412.0,0.15384615384615385,0.7692307692307693,3.3393583868011,1.7214155406702156,1.2,0.8125,0.7238929757778343,12,12,24,0.9230769230769231,1.0,0.0005398319880375071,14,1451,1,1,0.07692307692307693,0.1383399209486166,0.0,214.0,357.0,16.46153846153846
ACC000003,salary,IN,Ahmedabad,full,1271,0,0.0,0.0,0,1,6.0,4402755.41,733792.5683333334,45412.47,4183000.0,1690348.806327154,14.0,56116.07,4008.2907142857143,1865.0,26853.0,7036.196676161243,20.0,4458871.48,78.4566159637344,4346639.34,0.9872541052072421,0.4,1.7549729310199933,6.0,8.0,0.8811210203081998,0.7142857142857143,0.6666666666666666,0.6666666666666666,1,4183000.0,3,4183690.0,97410.31578947368,0.0032897297423758517,3977.0,0.05,0.4,0.1,0.0,0.05,21.42125,0.8920109271338573,99625.5,6586.0,0.0,0.4166666666666667,0.06389400268375875,41.65941171394287,1.0,1.0,1.0465367055676629,6,8,14,0.6666666666666666,0.3333333333333333,0.0003813004281448525,13,1451,1,0,0.0,0.16483516483516483,0.0,177.0,113.0,19.666666666666668
ACC000004,salary,IN,Pune,full,1142,0,0.0,0.0,0,1,21.0,6409248.04,305202.2876190476,134670.87,1489135.24,402477.2778240086,12.0,34602.89,2883.5741666666668,2050.9750000000004,9050.51,2350.2500968522027,33.0,6443850.93,185.21755906633618,6374645.15,0.9946009446997554,1.6153846153846154,0.8147650089954477,4.0,10.0,0.9144209733223061,0.7692307692307693,0.4117647058823529,0.36363636363636365,2,1489135.2399999984,5,2046902.049999997,76282.625,0.06401460261444171,2776.0,0.15151515151515152,0.21212121212121213,0.15151515151515152,0.09090909090909091,0.21212121212121213,28.252824074074073,1.1280962110337558,39196.0,8404.0,0.0,0.7,0.00544561279676763,0.8255245127275194,0.9444444444444444,0.6363636363636364,1.1338496544702237,4,10,14,0.36363636363636365,0.14285714285714285,0.00022322418851198017,13,1451,1,1,0.09090909090909091,0.15384615384615385,0.0,254.0,161.0,23.09090909090909
ACC000005,salary,IN,Chennai,full,525,0,0.0,0.0,0,1,10.0,353651.81,35365.181,17054.66,179000.0,53456.48574426565,8.0,39991.29,4998.91125,3222.9,12922.63,4827.496766513491,18.0,393643.1,8.842999738199538,313660.52,0.8869165213193132,1.1111111111111112,0.9655164912204173,8.0,6.0,0.26078321509789265,0.7857142857142857,0.7368421052631579,1.1428571428571428,1,179000.0,3,179000.0,133652.76470588235,-0.21036007597337628,16270.0,0.1111111111111111,0.3888888888888889,0.05555555555555555,0.05555555555555555,0.0,26.29741898148148,0.6594030011486128,199459.0,16270.0,0.0,0.125,0.31616733441824413,0.5289154861394211,1.2222222222222223,1.4285714285714286,1.2960184305916451,8,6,14,1.1428571428571428,0.3333333333333333,0.0002547620149638433,13,1451,1,0,0.0,0.14285714285714285,0.0,149.0,263.0,21.285714285714285
ACC000006,salary,IN,Delhi,full,1647,0,0.0,0.0,0,1,19.0,1370524.0,72132.84210526316,9538.25,876000.0,198758.29732280687,11.0,30175.600000000002,2743.236363636364,2462.75,4750.0,1321.6248819636587,30.0,1400699.6,45.4167798890531,1340348.4,0.9779817223326827,1.5833333333333333,0.4816002365818027,6.0,9.0,0.5173302744359489,0.7333333333333333,0.4838709677419355,0.6,2,876000.0,5,894782.6999999993,81489.24137931035,-0.11666627552400698,3033.0,0.06666666666666667,0.26666666666666666,0.13333333333333333,0.0,0.03333333333333333,27.351712962962964,1.0581371234672932,68136.0,6276.0,0.0,0.7272727272727273,0.28633298453668177,0.08719378079607534,0.7777777777777778,0.7272727272727273,1.1902959325021307,6,9,15,0.6,0.25,0.00016033670776843866,13,1451,1,0,0.0,0.19047619047619047,0.0,188.0,96.0,18.8
ACC000007,salary,IN,Bengaluru,full,2893,0,0.0,0.0,0,1,6.0,381366.41000000003,63561.068333333336,54944.935,156376.54,51604.4675775276,15.0,62164.05,4144.27,2880.0,14711.82,4138.507592208987,21.0,443530.46,6.13473985784617,319202.36000000004,0.8369943304804153,0.375,0.9983686447949076,5.0,12.0,0.2242985925352863,0.7647058823529411,0.7727272727272727,0.38461538461538464,2,156376.5399999991,2,159256.5399999991,117038.7,-0.1967475216989706,1623.0,0.0,0.38095238095238093,0.047619047619047616,0.047619047619047616,0.0,27.092291666666668,0.7475360233753328,222362.5,87776.0,0.0,0.0,0.06569240094111505,1.1574462492270732,0.9166666666666666,1.1111111111111112,0.9408263565684305,5,12,17,0.38461538461538464,0.125,0.00023374165921118795,15,1451,1,0,0.0,0.20588235294117646,0.0,278.0,127.0,21.384615384615383
ACC000008,merchant,IN,Ahmedabad,full,2300,0,0.0,0.0,0,1,276.0,31268679.419999998,113292.31673913043,1630.4099999999999,3666658.17,444771.9699018161,156.0,268833.08,1723.2889743589744,505.395,129000.0,10333.032125355678,432.0,31537512.499999996,116.31218564253459,30999846.34,0.9914024488277399,1.7579617834394905,5.992633647267337,194.0,52.0,0.21082794231599247,0.8319327731092437,0.5681293302540416,3.660377358490566,13,3701058.170000002,83,5061399.769999996,5934.825986078887,0.23532620909934723,4.0,0.09259259259259259,0.24537037037037038,0.046296296296296294,0.009259259259259259,0.0625,29.605439814814815,14.115137786416872,8308.5,9.0,0.27564102564102566,1.0,0.13786171406946074,1.6182908583710394,0.572463768115942,0.42105263157894735,0.2943555871683801,194,52,246,3.660377358490566,0.006993006993006993,0.0038939238147517514,35,1451,1,8,0.1509433962264151,0.05782021025531002,0.0,610.0,1303.0,11.50943396226415
ACC000009,household,IN,Hyderabad,full,875,0,0.0,0.0,0,1,1.0,2387.72,2387.72,2387.72,2387.72,0.0,7.0,35681.95,5097.421428571428,2943.46,15286.39,4716.649131902961,8.0,38069.67,0.06691487110791008,-33294.229999999996,-13.938104926487826,0.125,0.9251195096331142,1.0,7.0,0.22153306260205188,1.0,0.8888888888888888,0.125,1,15286.390000000596,2,15286.390000000596,218306.2857142857,0.029390873349009992,6568.0,0.125,0.25,0.0,0.0,0.0,17.686851851851852,0.42810849379143584,182036.0,148618.0,0.0,0.0,1.9766778860645033,1.0439475071591393,2.3333333333333335,2.3333333333333335,1.384647686333867,1,7,8,0.125,0.14285714285714285,0.00011412254976695606,8,1451,1,0,0.0,0.3333333333333333,0.0,169.0,68.0,21.125
ACC000010,salary,IN,Hyderabad,full,2469,0,0.0,0.0,0,0,8.0,386192.57999999996,48274.072499999995,16547.37,178022.49,63354.135258086404,6.0,20329.76,3388.293333333333,3021.54,6831.73,2912.467439293814,14.0,406522.33999999997,18.995481723260713,365862.81999999995,0.9473560383888308,1.1428571428571428,0.8593140672275286,4.0,6.0,0.45099953985211244,0.9,0.6666666666666666,0.5714285714285714,2,178022.4900000021,3,184557.5300000012,153017.3076923077,0.1415005213691927,3019.0,0.14285714285714285,0.5,0.0,0.07142857142857142,0.0,23.0234375,0.5827642276422764,424027.0,5765.0,0.0,0.4,0.42935490518961084,0.055492033654289286,1.0,1.6,1.4129395082657605,4,6,10,0.5714285714285714,0.3333333333333333,0.00019795272942146671,10,1451,1,0,0.0,0.4,0.0,153.0,255.0,21.857142857142858
ACC000011,household,IN,Bengaluru,full,347,0,0.0,0.0,0,1,2.0,470502.05,235251.025,235251.025,470000.0,331985.18419818266,27.0,181583.14,6725.301481481482,1708.58,68214.74,13667.224549404742,29.0,652085.19,2.5910966122922408,288918.91,0.6140638408188852,0.07142857142857142,2.031907815466295,2.0,19.0,0.5351483500117481,0.6666666666666666,0.7,0.1,2,470000.0,4,477890.4200000018,90266.92857142857,0.005957128213890921,39.0,0.034482758620689655,0.27586206896551724,0.034482758620689655,0.0,0.034482758620689655,29.253171296296298,0.9585771923206703,121081.0,36506.0,0.0,0.42857142857142855,3.4138952390418447,4.556977006480086,2.1,1.8,1.151196375355438,2,19,21,0.1,0.05555555555555555,0.00012393868523193457,19,1451,1,0,0.0,0.1619047619047619,0.0,430.0,30.0,21.5
ACC000012,freelancer,IN,Delhi,full,2895,0,0.0,0.0,0,1,8.0,233522.30000000002,29190.287500000002,1363.955,193116.26,67151.48968258279,11.0,77430.93,7039.175454545454,5500.0,19100.0,6103.270205428174,19.0,310953.23,3.0158398479800264,156091.37000000002,0.66841882587305,0.6666666666666666,0.8669201847075598,5.0,10.0,0.4067328479325145,0.8666666666666667,0.75,0.45454545454545453,1,193116.2599999979,3,193116.2599999979,140305.61111111112,0.1341897391815979,6040.0,0.15789473684210525,0.3157894736842105,0.0,0.05263157894736842,0.0,29.23033564814815,0.6285077420621992,129570.0,20171.0,0.0,0.4,3.4360621297699407,5.578512415926778,0.6153846153846154,0.7272727272727273,1.3373091406272886,5,10,15,0.45454545454545453,0.16666666666666666,0.00012541161160319528,14,1451,1,0,0.0,0.12380952380952381,0.0,221.0,280.0,20.09090909090909
ACC000013,freelancer,IN,Mumbai,full,1147,0,0.0,0.0,0,1,31.0,20062927.27,647191.2022580645,145163.67,3472890.34,971018.8353954243,6.0,52902.1,8817.016666666666,1697.9650000000001,42438.95,16619.966838535707,37.0,20115829.37,379.23916122117606,20010025.169999998,0.9973631416467202,4.428571428571429,1.8847738064911468,9.0,6.0,0.9827744735190291,0.8666666666666667,0.39473684210526316,1.2857142857142858,2,3472890.3400000036,5,3549836.480000004,70177.02777777778,0.037063634881068626,71.0,0.02702702702702703,0.2702702702702703,0.13513513513513514,0.10810810810810811,0.32432432432432434,29.24042824074074,1.223527646680366,13998.5,71.0,0.16666666666666666,0.6666666666666666,0.021307904450233162,0.8219875135348421,1.7857142857142858,2.1666666666666665,1.0653092327440956,9,6,15,1.2857142857142858,0.25,0.00020737977243912126,13,1451,1,0,0.0,0.18095238095238095,0.0,232.0,270.0,33.142857142857146
ACC000014,small_business,IN,Kochi,min,2373,0,0.0,0.0,0,0,81.0,850198.21,10496.274197530864,3218.0,267000.0,31046.428314739722,56.0,3133868.2600000002,55961.93321428572,16660.715,629000.0,106215.3228896671,137.0,3984066.47,0.27129345210782657,-2283670.0500000003,-2.6860411338185086,1.4210526315789473,1.8979584662398183,26.0,22.0,0.08270804323938254,0.6808510638297872,0.34782608695652173,1.1304347826086956,3,629000.0,12,687104.5300000161,18585.16911764706,0.11116029391925447,20.0,0.051094890510948905,0.31386861313868614,0.072992700729927,0.014598540145985401,0.0364963503649635,29.25443287037037,4.528262043020173,12649.0,23.0,0.30357142857142855,0.9464285714285714,5.0,1.2042032459776235,0.8783783783783784,1.103448275862069,0.499732720085871,26,22,48,1.1304347826086956,0.2,0.0013743485050579734,28,1451,1,1,0.043478260869565216,0.1276595744680851,0.0,486.0,476.0,21.130434782608695
ACC000015,salary,IN,Mumbai,full,2471,1,mule,fan_in|fan_out|mule_network|smurfing,4,1,9.0,415588.69,46176.52111111111,36830.43,129812.52,50059.22859928563,32.0,467846.05,14620.1890625,3094.31,99891.74,25631.580718541063,41.0,883434.74,0.8883003323415206,-52257.359999999986,-0.1257426766289606,0.2727272727272727,1.753043518483746,8.0,14.0,0.11629427664337559,0.7727272727272727,0.5238095238095238,0.5333333333333333,2,129812.51999999583,5,198381.75,62985.675,-0.09858729013262446,2861.0,0.0,0.2682926829268293,0.07317073170731707,0.0,0.0,29.16003472222222,1.3594148805734225,147421.0,3104.0,0.037037037037037035,0.2962962962962963,0.12502392542210394,0.9310373785987791,1.5294117647058822,1.3333333333333333,0.9810666249824105,8,14,22,0.5333333333333333,0.14285714285714285,0.0003667853472256326,19,1451,1,0,0.0,0.17316017316017315,0.0,343.0,203.0,22.866666666666667
