event_time,sender_account,event_type,device_id,ip_address,country,amount,transaction_type,merchant_category,payment_channel,spending_deviation_score,velocity_score,geo_anomaly_score,source_is_fraud,label_ato,attack_episode_id,device_new_for_account,ip_new_for_account,country_new_for_account,is_first_event_for_account,failed_logins_trailing_10min,seconds_since_last_event,amount_zscore_vs_history,device_distinct_accounts_24h,ip_distinct_accounts_24h,is_login_event,is_txn_event,hour_of_day,risk_xgb,risk_iforest,ato_risk_score,action
2023-01-01 01:52:10.582108000,ACC556935,normal_login,DEV-288930,85.197.168.149,US,,,,,,,,False,0,,1,1,1,1,0,-1.0,,1,1,1,0,1,0.00012045353,0.6486145217955261,19.5,allow
2023-01-01 01:52:20.582108000,ACC556935,normal_txn,DEV-288930,85.197.168.149,US,10.7,transfer,other,card,-0.94,5.0,0.87,False,0,,0,0,0,0,0,10.0,,1,1,0,1,1,6.042133e-06,0.2296340097408658,6.9,allow
2023-01-01 02:02:41.344242000,ACC787368,normal_login,DEV-864761,136.245.93.214,DE,,,,,,,,False,0,,1,1,1,1,0,-1.0,,1,1,1,0,2,7.403281e-05,0.6225131758654463,18.7,allow
2023-01-01 02:02:59.344242000,ACC787368,normal_txn,DEV-864761,136.245.93.214,DE,53.7,payment,utilities,wire_transfer,-0.84,7.0,0.18,False,0,,0,0,0,0,0,18.0,,1,1,0,1,2,2.960616e-06,0.2013270895221213,6.0,allow
2023-01-01 02:35:34.431059000,ACC555664,normal_login,DEV-1849265,145.32.96.189,AE,,,,,,,,False,0,,1,1,1,1,0,-1.0,,1,1,1,0,2,7.403281e-05,0.6225131758654463,18.7,allow
2023-01-01 02:35:42.431059000,ACC555664,normal_txn,DEV-1849265,145.32.96.189,AE,161.77,withdrawal,retail,UPI,-1.23,15.0,0.79,False,0,,0,0,0,0,0,8.0,,1,1,0,1,2,5.111541e-05,0.2065641522702829,6.2,allow
2023-01-01 03:40:50.228341000,ACC574434,normal_login,DEV-473043,39.239.95.75,US,,,,,,,,False,0,,1,1,1,1,0,-1.0,,1,1,1,0,3,7.0136724e-05,0.6035641404842218,18.1,allow
2023-01-01 03:41:02.228341000,ACC574434,normal_txn,DEV-473043,39.239.95.75,US,97.59,transfer,entertainment,ACH,-0.78,1.0,0.47,False,0,,0,0,0,0,0,12.0,,1,1,0,1,3,1.8930823e-06,0.2062027953987973,6.2,allow
2023-01-01 04:26:13.237837000,ACC641898,normal_login,DEV-1349909,97.105.86.108,CA,,,,,,,,False,0,,1,1,1,1,0,-1.0,,1,1,1,0,4,7.441537e-05,0.5775665835079296,17.3,allow
2023-01-01 04:26:23.237837000,ACC641898,normal_txn,DEV-1349909,97.105.86.108,CA,471.62,withdrawal,travel,wire_transfer,0.64,17.0,0.24,False,0,,0,0,0,0,0,10.0,,1,1,0,1,4,1.1054863e-05,0.162669711519647,4.9,allow
2023-01-01 04:31:50.301481000,ACC578522,normal_login,DEV-846037,125.116.169.106,JP,,,,,,,,False,0,,1,1,1,1,0,-1.0,,1,1,1,0,4,7.441537e-05,0.5775665835079296,17.3,allow
2023-01-01 04:32:00.301481000,ACC578522,normal_txn,DEV-846037,125.116.169.106,JP,80.16,payment,entertainment,card,1.55,11.0,0.8,False,0,,0,0,0,0,0,10.0,,1,1,0,1,4,0.000353289,0.1611356558680893,4.9,allow
2023-01-01 05:23:01.333862000,ACC378042,normal_login,DEV-1285861,59.55.134.215,UK,,,,,,,,False,0,,1,1,1,1,0,-1.0,,1,1,1,0,5,6.577113e-05,0.5645377533782963,16.9,allow
2023-01-01 05:23:20.333862000,ACC378042,normal_txn,DEV-1285861,59.55.134.215,UK,665.91,withdrawal,travel,wire_transfer,-0.01,15.0,0.22,False,0,,0,0,0,0,0,19.0,,1,1,0,1,5,1.801457e-05,0.1650529456521035,5.0,allow
2023-01-01 05:54:11.021094000,ACC565406,normal_login,DEV-785335,214.203.165.106,DE,,,,,,,,False,0,,1,1,1,1,0,-1.0,,1,1,1,0,5,6.577113e-05,0.5645377533782963,16.9,allow
2023-01-01 05:54:18.021094000,ACC565406,normal_txn,DEV-785335,214.203.165.106,DE,0.01,withdrawal,grocery,ACH,0.13,2.0,0.59,False,0,,0,0,0,0,0,7.0,,1,1,0,1,5,3.3409215e-06,0.1802224313337866,5.4,allow
2023-01-01 06:00:42.600507000,ACC387772,normal_login,DEV-012223,213.37.131.98,AU,,,,,,,,False,0,,1,1,1,1,0,-1.0,,1,1,1,0,6,0.00011030813,0.5513221262325916,16.5,allow
2023-01-01 06:00:50.600507000,ACC387772,normal_txn,DEV-012223,213.37.131.98,AU,1546.91,deposit,entertainment,wire_transfer,-0.55,9.0,0.14,False,0,,0,0,0,0,0,8.0,,1,1,0,1,6,1.2525635e-05,0.1501935621411427,4.5,allow
2023-01-01 06:05:14.693559000,ACC711514,normal_login,DEV-260835,104.81.188.0,AU,,,,,,,,False,0,,1,1,1,1,0,-1.0,,1,1,1,0,6,0.00011030813,0.5513221262325916,16.5,allow
2023-01-01 06:05:25.693559000,ACC711514,normal_txn,DEV-260835,104.81.188.0,AU,66.23,transfer,entertainment,UPI,0.15,16.0,0.59,False,0,,0,0,0,0,0,11.0,,1,1,0,1,6,8.047422e-05,0.11999969702343,3.6,allow
2023-01-01 06:07:12.736441000,ACC228858,normal_login,DEV-1152035,124.6.181.51,SG,,,,,,,,False,0,,1,1,1,1,0,-1.0,,1,1,1,0,6,0.00011030813,0.5513221262325916,16.5,allow
2023-01-01 06:07:17.736441000,ACC228858,normal_txn,DEV-1152035,124.6.181.51,SG,55.99,transfer,other,ACH,0.62,16.0,0.63,False,0,,0,0,0,0,0,5.0,,1,1,0,1,6,6.62211e-05,0.1474412055776126,4.4,allow
2023-01-01 06:14:43.004675000,ACC404023,normal_login,DEV-294971,29.156.196.91,AE,,,,,,,,False,0,,1,1,1,1,0,-1.0,,1,1,1,0,6,0.00011030813,0.5513221262325916,16.5,allow
2023-01-01 06:14:52.004675000,ACC404023,normal_txn,DEV-294971,29.156.196.91,AE,114.39,payment,entertainment,ACH,-0.15,8.0,0.15,False,0,,0,0,0,0,0,9.0,,1,1,0,1,6,1.7344504e-06,0.1371729401633556,4.1,allow
2023-01-01 06:23:24.884083000,ACC642055,normal_login,DEV-109076,113.207.202.112,CA,,,,,,,,False,0,,1,1,1,1,0,-1.0,,1,1,1,0,6,0.00011030813,0.5513221262325916,16.5,allow
2023-01-01 06:23:43.884083000,ACC642055,normal_txn,DEV-109076,113.207.202.112,CA,1002.24,deposit,grocery,UPI,-1.74,2.0,0.38,False,0,,0,0,0,0,0,19.0,,1,1,0,1,6,7.3131196e-06,0.2603644316855841,7.8,allow
